Institution,Rank_earned_doct,Percentile_earned_doct,Rank_full_time_grad,Percentile_full_time_grad,Rank_tot_rd,Percentile_tot_rd,Rank_research_space,Percentile_research_space
Florida Institute of Technology,198,44.6,200,29.6,268,30.1,211,36.7
Florida International U.,96,22.0,77,11.9,105,12.3,124,21.9
Florida Polytechnic University,0,0.0,529,76.8,607,67.1,526,90.3
Florida State U.,49,11.6,66,10.3,83,9.9,145,25.5
Fordham U.,152,34.4,245,36.0,297,33.3,364,62.8
Fort Hays State U.,0,0.0,437,63.6,688,75.9,0,0.0
Fort Lewis C.,0,0.0,0,0.0,549,60.8,413,71.1
Fort Valley State U.,0,0.0,529,76.8,419,46.6,146,25.7
Framingham State U.,0,0.0,674,97.6,515,57.0,344,59.4
Francis Marion U.,0,0.0,0,0.0,886,97.5,0,0.0
Franklin W. Olin C. Engineering,0,0.0,0,0.0,578,63.9,0,0.0
Franklin and Marshall C.,0,0.0,0,0.0,458,50.8,257,44.6
Frostburg State U.,0,0.0,563,81.6,0,0.0,0,0.0
Fuller Theological Seminary,225,50.6,0,0.0,0,0.0,0,0.0
Furman U.,0,0.0,674,97.6,510,56.5,391,67.3
Future Generations U.,0,0.0,0,0.0,857,94.3,0,0.0
Gallaudet U.,308,69.0,551,79.9,393,43.7,550,94.4
Gannon U.,0,0.0,328,47.9,646,71.3,0,0.0
Garrett-Evangelical Theological Seminary,372,83.2,0,0.0,0,0.0,0,0.0
George Mason U.,77,17.8,59,9.3,114,13.3,165,28.9
"George Washington U., The",91,20.9,49,7.9,101,11.9,116,20.6
Georgetown U.,124,28.2,55,8.8,92,10.9,153,26.9
Georgia C. and State U.,0,0.0,625,90.5,868,95.5,0,0.0
Georgia Gwinnett C.,0,0.0,0,0.0,765,84.3,0,0.0
Georgia Institute of Technology,19,5.0,16,3.2,20,3.1,14,3.2
Georgia Regents U.,279,62.6,0,0.0,0,0.0,0,0.0
Georgia Southern U.,430,96.0,239,35.2,227,25.6,202,35.2
Georgia Southwestern State U.,0,0.0,652,94.4,0,0.0,0,0.0
Georgia State U.,94,21.6,75,11.6,118,13.8,229,39.8
Gettysburg C.,0,0.0,0,0.0,715,78.9,0,0.0
Gonzaga U.,330,73.9,617,89.4,884,97.3,0,0.0
Goucher C.,0,0.0,0,0.0,862,94.9,0,0.0
Governors State U.,0,0.0,323,47.2,805,88.7,0,0.0
Graduate School of the Stowers Institute for Medical Research,0,0.0,0,0.0,738,81.4,0,0.0
Graduate Theological Union,293,65.7,0,0.0,0,0.0,0,0.0
Grambling State U.,334,74.8,0,0.0,534,59.1,0,0.0
Grand Valley State U.,0,0.0,237,34.9,378,42.1,303,52.4
Grinnell C.,0,0.0,0,0.0,441,49.0,353,60.9
Gustavus Adolphus C.,0,0.0,0,0.0,651,71.9,0,0.0
Hamilton C.,0,0.0,0,0.0,566,62.6,0,0.0
Hamline U.,0,0.0,0,0.0,763,84.1,0,0.0
Hampton U.,262,58.8,480,69.7,332,37.1,556,95.4
Harrisburg U. Science and Technology,0,0.0,132,19.8,0,0.0,0,0.0
Hartford International U. for Religion and Peace,0,0.0,0,0.0,754,83.1,0,0.0
Harvard U.,16,4.3,34,5.7,10,2.0,17,3.7
Harvey Mudd C.,0,0.0,0,0.0,517,57.3,387,66.7
Haverford C.,0,0.0,0,0.0,450,50.0,452,77.7
Hawai'i Pacific U.,0,0.0,466,67.7,558,61.7,438,75.3
"Hebrew Union C.-Jewish Institute of Religion, New York City",430,96.0,0,0.0,0,0.0,0,0.0
Heidelberg U.,0,0.0,0,0.0,567,62.7,560,96.1
Hendrix C.,0,0.0,0,0.0,714,78.7,0,0.0
High Tech High Graduate School of Ed.,0,0.0,0,0.0,413,45.9,0,0.0
Hobart and William Smith Colleges,0,0.0,0,0.0,547,60.5,501,86.1
Hofstra U.,284,63.7,282,41.3,398,44.3,0,0.0
Hood C.,0,0.0,518,75.2,0,0.0,0,0.0
Hope C.,0,0.0,0,0.0,410,45.6,334,57.6
Howard U.,148,33.6,232,34.1,197,22.4,140,24.6
Hult International Business School,0,0.0,0,0.0,651,71.9,0,0.0
Humboldt State U.,0,0.0,354,51.7,320,35.8,325,56.1
Icahn School of Medicine at Mount Sinai,237,53.3,306,44.8,33,4.5,92,16.5
Idaho State U.,248,55.7,286,41.9,322,36.0,227,39.4
Illinois C. Optometry,0,0.0,0,0.0,764,84.2,0,0.0
Illinois Institute of Technology,153,34.7,121,18.2,239,27.0,268,46.4
Illinois State U.,241,54.2,251,36.9,260,29.2,123,21.8
Indiana Institute of Technology,0,0.0,557,80.8,0,0.0,0,0.0
Indiana State U.,232,52.2,395,57.5,632,69.8,328,56.6
Indiana U.,0,0.0,35,5.9,0,0.0,0,0.0
Indiana U. Pennsylvania,177,40.0,375,54.7,391,43.5,424,73.0
"Indiana U., Bloomington",41,9.9,0,0.0,40,5.3,121,21.4
"Indiana U., Kokomo",0,0.0,0,0.0,785,86.5,0,0.0
"Indiana U., Northwest",0,0.0,0,0.0,739,81.5,0,0.0
"Indiana U., South Bend",0,0.0,0,0.0,662,73.1,577,99.0
"Indiana U., Southeast",0,0.0,0,0.0,733,80.8,0,0.0
"Indiana U.-Purdue U., Indianapolis",144,32.7,0,0.0,184,21.0,98,17.5
